platform,cluster_id,taxonomy_id,cluster_name,module,submodule,detail,business_family,business_submodule,business_detail,naming_confidence,naming_source,needs_review,score_share,evidence_mass_coverage,evidence_row_coverage,supporting_evidence,top_ngrams
android,9,,Hợp đồng điện tử và nghiệm thu | Hợp đồng/Phụ lục,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,,high,validated_taxonomy_submodule,false,0.9277,0.9377,0.5,view@android/Home/Contract_List view@HOME || view@android/Home/Contract_List view@android/Home || action@android/Home/Contract_List#contract_list/contract_list_reload view@HOME,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_filter action@android/Home/Payment/payment_history#android/home/home_service_management/internet_service_tab/device_control/click_search_device || action@android/Home/Contract_List#contract_list/contract_list_reload view@HOME || action@android/Home/Payment/payment_history#android/home/home_service_management/internet_service_tab/device_control/click_search_device action@android/Home/Payment/payment_history#btn_back || view@loyalty_home_view view@android/home/payment || view@android/Home/Contract_List view@android/Home || view@android/Home/Contract_List view@HOME || action@<missing>#btn_back action@<missing>#android/Home/change_contract || view@PaymentNapasWebViewActivity view@android/Home/Payment/payment_history
android,10,,Chưa phân loại | Không đủ bằng chứng,Chưa phân loại,Không đủ bằng chứng,,Chưa phân loại,Không đủ bằng chứng,,low,insufficient_observed_evidence,true,0.0,0.0,0.0,,action@android/Home#btn_back action@android/Home#android/home/popup_remind/skip_remind || action@android/Home#android/home/popup_remind/skip_remind <eos> || action@android/home/home_service_management/internet_service_tab/modem_control#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail view@ReportDetailScreen || action@android/home/home_service_management/internet_service_tab/modem_control#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail || view@android/Home view@CONTRACT/FPricesEContract || action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/ultrafast/ultra-fast-purchase/home view@hi.fpt.vn/web/shop/home || action@android/Home#Home/action_wifi_5GHz view@android/login || action@hi.fpt.vn/dkol/product-detail?cat_id=4&ordertype=1#btn_back shop/catalog
android,11,M05.02.01,"Internet, Wi-Fi và thiết bị mạng | Wi-Fi chính/khách | Xem danh sách và trạng thái Wi-Fi","Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Xem danh sách và trạng thái Wi-Fi,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Xem danh sách và trạng thái Wi-Fi,high,validated_taxonomy_detail,false,0.991,1.0,1.0,action@android/Home#Home/action_wifi_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || view@android/Home action@android/Home#Home/action_wifi_2GHz || action@android/Home#invite_update_cancel action@android/Home#Home/action_wifi_2GHz,action@android/Home#android/wifi_bottom_sheet_home/copy_password_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#android/wifi_bottom_sheet_home/set_ssid_password_wifi_home_band_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/action_wifi_2GHz action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/action_wifi_2GHz action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#invite_update_cancel action@android/Home#Home/action_wifi_2GHz || action@android/Home#android/wifi_bottom_sheet_home/set_ssid_password_wifi_home_band_2GHz action@android/Home#Home/action_wifi_2GHz || action@android/Home#Home/action_wifi_5GHz action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION || view@android/Home action@android/Home#Home/action_wifi_2GHz
android,12,,Chưa phân loại | Không đủ bằng chứng,Chưa phân loại,Không đủ bằng chứng,,Chưa phân loại,Không đủ bằng chứng,,low,insufficient_observed_evidence,true,0.0,0.0,0.0,,action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/reject_reboot action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@ErrorCheckingDrSmartScreen#android/Home/Home_pull_to_refresh action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@ErrorCheckingDrSmartScreen#Home/action_wifi_guest action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification view@android/home/notification || action@ErrorCheckingDrSmartScreen#Home/{id}/{id}/do_action/CALL_API_GET_ACTION action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@ErrorCheckingDrSmartScreen#Home/action_wifi_5GHz action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@ErrorCheckingDrSmartScreen#Home/do_action/MODEM_RESET action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification || action@<missing>#android/NotificationButtonDetail view@ErrorCheckingDrSmartScreen
android,13,M02.01.01,Trang chủ và khám phá | Trang chủ | Xem tổng quan dịch vụ trên Home,Trang chủ và khám phá,Trang chủ,Xem tổng quan dịch vụ trên Home,Trang chủ và khám phá,Trang chủ,Xem tổng quan dịch vụ trên Home,high,validated_taxonomy_detail,false,0.7764,0.6757,0.25,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/Nav_home || action@android/Home#Home/Nav_home action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/Nav_home || action@<missing>#android/Home/account/edit_avatar view@android/Home || <bos> action@<missing>#android/Home/account/edit_avatar || action@android/Account#android/Home/Account/Contract_Management || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=3 || action@android/Home#Home/Nav_home action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/go_to_screen/E_CONTRACT_QUOTATION || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#android/Home/Header/go_to_screen/Profile
android,14,,Chưa phân loại | Không đủ bằng chứng,Chưa phân loại,Không đủ bằng chứng,,Chưa phân loại,Không đủ bằng chứng,,low,insufficient_observed_evidence,true,0.0,0.0,0.0,,action@<missing>#Home/payment/choose_prepaid_package view@android/login_screen/OTP_screen || action@CONTRACT/FPricesEContract#android/HOME/VIEW_DETAILS/E_CONTRACT/E_CONTRACT_BLOCK/CONTRACT_CONFIRM/CONTRACT_TAB || account/contract <eos> || action@android/Home#invite_update_close action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail || action@android/Home#android/home/popup_remind/setting_noti action@android/Home#banner || action@android/Home#invite_update_close action@android/Home#Home/{id}/go_to_screen/FAVORITE_FEATURE || view@android/Home view@CONTRACT/FPricesEContract || action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail <eos>
android,15,M15.01.03,"Thông báo, lời nhắc và truy cập nhanh | Hộp thông báo | Xem chi tiết thông báo","Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem chi tiết thông báo,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem chi tiết thông báo,high,reviewed_literal_evidence,false,0.8571,0.612,0.75,view@NotificationDetailActivity view@HOME || action@HOME#android/NotificationButtonDetail || action@HOME#android/NotificationButtonDetail <eos>,action@HOME#Home/do_action/MODEM_RESET action@HOME#view_os_noti || action@HOME#android/NotificationButtonDetail <eos> || action@HOME#view_os_noti action@HOME#android/NotificationButtonDetail || action@HOME#android/NotificationButtonDetail || action@HOME#view_os_noti <eos> || view@HOME action@HOME#android/NotificationButtonDetail || view@NotificationDetailActivity view@HOME || view@android/NOTIFICATION/DETAIL action@android/NOTIFICATION/DETAIL#sa_short_msg
android,16,,Chưa phân loại | Không đủ bằng chứng,Chưa phân loại,Không đủ bằng chứng,,Chưa phân loại,Không đủ bằng chứng,,low,insufficient_observed_evidence,true,0.0,0.0,0.0,,action@internet_fprotect_screen/management_device/management_device_screen#btn_back view@HOME || action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices action@<missing>#btn_back || <bos> action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices || action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/mark_trusted_devices || action@<missing>#Home/null/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen || action@<missing>#Home/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen || action@<missing>#btn_back view@internet_fprotect_screen/management_device/management_device_screen || <bos> action@<missing>#Home/null/{id}/do_action/CALL_API_GET_ACTION
android,17,M02.01.01,Trang chủ và khám phá | Trang chủ | Xem tổng quan dịch vụ trên Home,Trang chủ và khám phá,Trang chủ,Xem tổng quan dịch vụ trên Home,Trang chủ và khám phá,Trang chủ,Xem tổng quan dịch vụ trên Home,high,validated_taxonomy_detail,false,0.9921,0.6497,0.625,action@android/Home#Home/Nav_home action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || view@android/Home action@android/Home#Home/Nav_home || action@android/Home#Home/Nav_home action@android/Home#android/Home/Home_pull_to_refresh,action@android/Home#Home/Nav_home action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/Nav_home action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || view@android/home/payment view@android/Home || action@android/Home#Home/Nav_home action@android/Home#sa_mascot_close || action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_tab_connected action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching || action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching <eos> || action@android/Home#Home/Nav_home action@android/Home#android/Home/Home_pull_to_refresh || view@android/Home action@android/Home#Home/Nav_home
android,18,,Hợp đồng điện tử và nghiệm thu | Hợp đồng/Phụ lục,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,,high,validated_taxonomy_submodule,false,0.9836,0.9852,0.5,action@android/Home/Contract_List#btn_back view@HOME || view@android/Home/Contract_List view@HOME || view@android/Home/Contract_List view@android/Home,action@android/Home/Contract_List#adsview view@android/Home || action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_on_notification_channel || action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_on_notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel || action@android/home/payment#select_bill action@android/home/payment#android/Home/Payment/Setting || view@android/Home/Contract_List view@HOME || action@android/Home/Contract_List#btn_back view@HOME || action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Turn_off_notification_channel || view@android/Home/Contract_List view@android/Home
android,19,,Yêu cầu hỗ trợ và chăm sóc khách hàng | Tạo yêu cầu,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,,medium,reviewed_literal_evidence,true,1.0,0.2216,0.25,view@android/login view@android/home/support_create || view@android/home/support_create view@android/login,action@android/Home#Support_confirm_close_confirm view@android/login || view@UnConfirmEContractScreenData view@android/login || <bos> view@ReportStatusScreen || view@android/home/support_create view@android/login || action@android/login#guest/Support_confirm_close_confirm view@android/login || view@android/login view@android/home/support_create || action@android/login#guest/Support_confirm_close_confirm || view@android/login action@android/login#guest/Support_confirm_close_confirm
android,20,M15.03.10,"Thông báo, lời nhắc và truy cập nhanh | Smart Assistant lời nhắc | Đóng/ẩn Smart Assistant","Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Đóng/ẩn Smart Assistant,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Đóng/ẩn Smart Assistant,high,reviewed_literal_evidence,false,0.8517,0.7659,0.125,action@android/Home#android/home/popup_remind/skip_remind action@android/Home#sa_msg_close,action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=3 || action@android/Home#android/home/popup_remind/skip_remind action@android/Home#sa_msg_close || view@internet_fprotect_screen/view_profiles_devices/profiles_devices_detail/internet_break_screen view@HOME || action@<missing>#guest/android/login/login_with_otp || action@<missing>#guest/android/login/continue_login action@<missing>#guest/android/login/login_with_otp || action@<missing>#guest/android/login/login_with_otp view@android/login_screen/OTP_screen || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4 || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=2
android,21,,Hóa đơn và thanh toán | Tiện ích/cài đặt thanh toán,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,,high,validated_taxonomy_submodule,false,0.9958,0.9958,0.875,action@HOME#android/Home/Payment/payment_history || action@HOME#android/Home/Payment/payment_history view@android/Home/Payment/payment_history || view@HOME action@HOME#android/Home/Payment/payment_history,view@android/Home action@android/Home#android/Home/Payment/payment_history || <bos> view@android/Home/Payment/payment_history || action@android/Home#android/Home/Payment/payment_history || action@android/Home#android/Home/Payment/payment_history view@android/Home/Payment/payment_history || view@HOME action@HOME#android/Home/Payment/payment_history || <bos> action@<missing>#manage_autopay/fixed_day || action@HOME#android/Home/Payment/payment_history || action@HOME#android/Home/Payment/payment_history view@android/Home/Payment/payment_history
