taxonomy_id,business_family,business_submodule,business_detail
M02.01.03,Trang chủ và khám phá,Trang chủ,Mở block Chỉ có tại Hi FPT
M02.01.04,Trang chủ và khám phá,Trang chủ,Trải nghiệm Home chưa đăng nhập
M02.02.01,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Tìm kiếm tính năng
M02.02.02,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Tìm kiếm sản phẩm/dịch vụ
M02.02.03,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Mở kết quả tìm kiếm
M02.02.04,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Chọn từ khóa phổ biến/gợi ý
M02.02.05,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Xem và dùng lại lịch sử tìm kiếm
M02.02.06,Trang chủ và khám phá,Tìm kiếm toàn ứng dụng,Xóa lịch sử tìm kiếm
M02.03.01,Trang chủ và khám phá,FPT Zone,Khám phá FPT Zone
M02.03.02,Trang chủ và khám phá,FPT Zone,Xem chuyên mục Esports
M02.03.03,Trang chủ và khám phá,FPT Zone,Xem chuyên mục thể thao/giải trí
M02.03.04,Trang chủ và khám phá,FPT Zone,Khám phá danh mục dịch vụ FPT
M03.01.01,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Xem danh sách hợp đồng
M03.01.02,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Tìm kiếm hợp đồng đang quản lý
M03.01.03,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Chọn/đổi hợp đồng đang xem
M03.01.04,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Bật liên kết hợp đồng
M03.01.05,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Tắt liên kết hợp đồng
M03.01.06,Hợp đồng và thủ tục dịch vụ,Danh sách và liên kết hợp đồng,Gửi phản ánh khi tắt liên kết
M03.02.01,Hợp đồng và thủ tục dịch vụ,Thông tin hợp đồng,Xem thông tin hợp đồng
M03.02.02,Hợp đồng và thủ tục dịch vụ,Thông tin hợp đồng,Mở phân quyền hợp đồng
M03.02.03,Hợp đồng và thủ tục dịch vụ,Thông tin hợp đồng,Xem lịch sử thay đổi thông tin hợp đồng
M03.02.04,Hợp đồng và thủ tục dịch vụ,Thông tin hợp đồng,Mở hóa đơn điện tử
M03.03.01,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi số điện thoại chính chủ
M03.03.02,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi email hợp đồng
M03.03.03,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi loại giấy tờ tùy thân
M03.03.04,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi hình thức thanh toán
M03.03.05,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi địa chỉ thanh toán
M03.03.06,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Thay đổi địa chỉ xuất hóa đơn
M03.03.07,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Chụp/tải giấy tờ tùy thân theo yêu cầu SR
M03.03.08,Hợp đồng và thủ tục dịch vụ,Thay đổi thông tin khách hàng,Theo dõi yêu cầu thay đổi thông tin
M03.04.01,Hợp đồng và thủ tục dịch vụ,Xác thực VNeID và chuyển sở hữu,Cập nhật thông tin hợp đồng qua VNeID sau ký bán thêm
M03.04.02,Hợp đồng và thủ tục dịch vụ,Xác thực VNeID và chuyển sở hữu,Xác nhận chia sẻ dữ liệu VNeID
M03.04.03,Hợp đồng và thủ tục dịch vụ,Xác thực VNeID và chuyển sở hữu,Yêu cầu tư vấn chuyển chủ sở hữu
M03.05.01,Hợp đồng và thủ tục dịch vụ,Chuyển địa điểm,Yêu cầu chuyển địa điểm lắp đặt
M03.05.02,Hợp đồng và thủ tục dịch vụ,Chuyển địa điểm,Chọn/nhập địa chỉ lắp đặt mới
M03.05.03,Hợp đồng và thủ tục dịch vụ,Chuyển địa điểm,Xem và xác nhận thông tin chuyển địa điểm
M03.05.04,Hợp đồng và thủ tục dịch vụ,Chuyển địa điểm,Thanh toán chuyển địa điểm
M03.05.05,Hợp đồng và thủ tục dịch vụ,Chuyển địa điểm,Theo dõi trạng thái chuyển địa điểm
M03.06.01,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Yêu cầu tạm ngưng dịch vụ
M03.06.02,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Chọn dịch vụ/lý do/thời hạn tạm ngưng
M03.06.03,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Chọn hoàn trả hoặc bồi thường thiết bị
M03.06.04,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Chọn lịch thu hồi thiết bị
M03.06.05,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Xem và thanh toán chi phí tạm ngưng
M03.06.06,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Ký biên bản tạm ngưng
M03.06.07,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Theo dõi yêu cầu tạm ngưng
M03.06.08,Hợp đồng và thủ tục dịch vụ,Tạm ngưng dịch vụ,Yêu cầu tư vấn khi không đủ điều kiện tạm ngưng
M03.07.01,Hợp đồng và thủ tục dịch vụ,Khôi phục và nâng cấp,Xem hợp đồng đủ điều kiện khôi phục
M03.07.02,Hợp đồng và thủ tục dịch vụ,Khôi phục và nâng cấp,Xem dịch vụ cần khôi phục
M03.07.03,Hợp đồng và thủ tục dịch vụ,Khôi phục và nâng cấp,Gửi yêu cầu khôi phục dịch vụ
M03.07.04,Hợp đồng và thủ tục dịch vụ,Khôi phục và nâng cấp,Yêu cầu nâng cấp dịch vụ
M04.01.01,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Xem danh sách hợp đồng/phụ lục quản lý
M04.01.02,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Xem danh sách hợp đồng/phụ lục khác
M04.01.03,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Xem chi tiết hợp đồng/phụ lục
M04.01.04,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Ký hợp đồng/phụ lục bằng OTP
M04.01.05,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Xác nhận điều khoản sử dụng
M04.01.06,Hợp đồng điện tử và nghiệm thu,Hợp đồng/Phụ lục,Ký phụ lục bán thêm
M04.02.01,Hợp đồng điện tử và nghiệm thu,Ký và cập nhật qua VNeID,Mở luồng ký BBĐT bán mới khi đăng nhập VNeID
M04.02.02,Hợp đồng điện tử và nghiệm thu,Ký và cập nhật qua VNeID,Xác thực CCCD/VNeID trước ký
M04.02.03,Hợp đồng điện tử và nghiệm thu,Ký và cập nhật qua VNeID,Xác nhận biên bản bán thêm và mở cập nhật thông tin qua VNeID
M04.03.01,Hợp đồng điện tử và nghiệm thu,Biên bản nghiệm thu,Xem danh sách BBNT hợp đồng quản lý
M04.03.02,Hợp đồng điện tử và nghiệm thu,Biên bản nghiệm thu,Xem danh sách BBNT hợp đồng khác
M04.03.03,Hợp đồng điện tử và nghiệm thu,Biên bản nghiệm thu,Xem BBNT triển khai
M04.03.04,Hợp đồng điện tử và nghiệm thu,Biên bản nghiệm thu,Xem BBNT bảo trì
M04.03.05,Hợp đồng điện tử và nghiệm thu,Biên bản nghiệm thu,Ký xác nhận BBNT
M04.04.01,Hợp đồng điện tử và nghiệm thu,Ký thanh lý trên web,Mở web ký biên bản thanh lý trước sử dụng
M04.04.02,Hợp đồng điện tử và nghiệm thu,Ký thanh lý trên web,Ký OTP biên bản thanh lý trước sử dụng
M05.01.01,"Internet, Wi-Fi và thiết bị mạng",Modem,Xem thông tin/trạng thái modem
M05.01.02,"Internet, Wi-Fi và thiết bị mạng",Modem,Đổi tên gợi nhớ modem
M05.01.03,"Internet, Wi-Fi và thiết bị mạng",Modem,Khởi động lại modem
M05.01.04,"Internet, Wi-Fi và thiết bị mạng",Modem,Đặt lịch khởi động modem
M05.02.01,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Xem danh sách và trạng thái Wi-Fi
M05.02.02,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Đổi tên Wi-Fi
M05.02.03,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Đổi mật khẩu Wi-Fi
M05.02.04,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Sao chép mật khẩu Wi-Fi
M05.02.05,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Chia sẻ Wi-Fi bằng QR
M05.02.06,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Bật Wi-Fi
M05.02.07,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Tắt Wi-Fi
M05.02.08,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Đặt lịch bật/tắt Wi-Fi
M05.02.09,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Cập nhật lịch bật/tắt Wi-Fi
M05.03.01,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Xem Wi-Fi IoT theo băng tần
M05.03.02,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Bật Wi-Fi IoT
M05.03.03,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Tắt Wi-Fi IoT
M05.03.04,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Đổi tên Wi-Fi IoT
M05.03.05,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Đổi mật khẩu Wi-Fi IoT
M05.03.06,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Sao chép mật khẩu Wi-Fi IoT
M05.03.07,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi IoT,Chia sẻ QR Wi-Fi IoT
M05.04.01,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Xem mô hình mạng Modem/AP/Mesh
M05.04.02,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Làm mới mô hình mạng
M05.04.03,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Xem chi tiết Modem/AP từ mô hình
M05.04.04,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Xem báo cáo upload/download
M05.04.05,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Xem báo cáo số lượng thiết bị truy cập
M05.04.06,"Internet, Wi-Fi và thiết bị mạng",Mô hình mạng và lưu lượng,Xem báo cáo mạng theo ngày
M05.05.01,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Xem tất cả thiết bị
M05.05.02,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Xem thiết bị đang kết nối
M05.05.03,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Xem thiết bị bị chặn
M05.05.04,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Tìm thiết bị theo tên/MAC
M05.05.05,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Lọc thiết bị theo Modem/AP
M05.05.06,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Xem chi tiết thiết bị
M05.05.07,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Đổi tên gợi nhớ thiết bị
M05.05.08,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Đổi hình ảnh nhận diện thiết bị
M05.05.09,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Chặn truy cập Internet thiết bị
M05.05.10,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Bỏ chặn truy cập Internet thiết bị
M05.05.11,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Xóa thiết bị và các rule liên quan
M05.06.01,"Internet, Wi-Fi và thiết bị mạng",Nhận diện và lịch sử thiết bị,Bật nhận diện thiết bị mới
M05.06.02,"Internet, Wi-Fi và thiết bị mạng",Nhận diện và lịch sử thiết bị,Tắt nhận diện thiết bị mới
M05.06.03,"Internet, Wi-Fi và thiết bị mạng",Nhận diện và lịch sử thiết bị,Xem thiết bị mới/thiết bị lạ
M05.06.04,"Internet, Wi-Fi và thiết bị mạng",Nhận diện và lịch sử thiết bị,Đánh dấu thiết bị tin cậy
M05.06.05,"Internet, Wi-Fi và thiết bị mạng",Nhận diện và lịch sử thiết bị,Xem lịch sử thiết bị vào/rời mạng
M05.07.01,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Thêm AP bằng nhập/scan MAC và CODE
M05.07.02,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Xem danh sách AP ngoại mạng
M05.07.03,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Xem chi tiết bộ phát
M05.07.04,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Đổi tên gợi nhớ AP
M05.07.05,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Khởi động lại AP
M05.07.06,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Quản lý Wi-Fi của AP
M05.07.07,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Quản lý thiết bị kết nối AP
M05.07.08,"Internet, Wi-Fi và thiết bị mạng",AP ngoại mạng/Gaming Wi-Fi,Xem lịch sử vùng phủ của AP
M06.01.01,Bảo vệ Internet,Gói FSafe,Xem thông tin/trạng thái gói FSafe
M06.01.02,Bảo vệ Internet,Gói FSafe,Mở luồng đăng ký FSafe
M06.01.03,Bảo vệ Internet,Gói FSafe,Mở quản lý/cài đặt FSafe
M06.01.04,Bảo vệ Internet,Gói FSafe,Đánh giá dịch vụ FSafe
M06.01.05,Bảo vệ Internet,Gói FSafe,Hủy FSafe trả sau
M06.01.06,Bảo vệ Internet,Gói FSafe,Yêu cầu hỗ trợ hủy FSafe trả trước
M06.01.07,Bảo vệ Internet,Gói FSafe,Đăng ký lại FSafe đã hủy
M06.01.08,Bảo vệ Internet,Gói FSafe,Xem hướng dẫn sử dụng FSafe
M06.02.01,Bảo vệ Internet,Hồ sơ người dùng,Xem hồ sơ người dùng và thiết bị
M06.02.02,Bảo vệ Internet,Hồ sơ người dùng,Tạo hồ sơ người dùng
M06.02.03,Bảo vệ Internet,Hồ sơ người dùng,Sửa tên/avatar hồ sơ
M06.02.04,Bảo vệ Internet,Hồ sơ người dùng,Gán thiết bị vào hồ sơ
M06.02.05,Bảo vệ Internet,Hồ sơ người dùng,Bỏ gán thiết bị khỏi hồ sơ
M06.03.01,Bảo vệ Internet,Kiểm soát truy cập,Bật/tắt quản lý thiết bị và bảo vệ trẻ em
M06.03.02,Bảo vệ Internet,Kiểm soát truy cập,Cài đặt lọc nội dung theo hồ sơ/thiết bị
M06.03.03,Bảo vệ Internet,Kiểm soát truy cập,Tạo khung giờ chặn Internet
M06.03.04,Bảo vệ Internet,Kiểm soát truy cập,Sửa khung giờ chặn Internet
M06.03.05,Bảo vệ Internet,Kiểm soát truy cập,Xóa khung giờ chặn Internet
M06.03.06,Bảo vệ Internet,Kiểm soát truy cập,Bật/tắt khung giờ chặn Internet
M06.04.01,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt chặn quảng cáo
M06.04.02,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt bảo vệ duyệt web
M06.04.03,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt ngăn chặn theo dõi
M06.04.04,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt bảo vệ thiết bị IoT
M06.04.05,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt Safe Search
M06.04.06,Bảo vệ Internet,Bảo vệ mạng và duyệt web,Bật/tắt lọc nội dung độc hại
M06.05.01,Bảo vệ Internet,Website và cảnh báo,Xem danh sách website ưu tiên
M06.05.02,Bảo vệ Internet,Website và cảnh báo,Thêm website ưu tiên
M06.05.03,Bảo vệ Internet,Website và cảnh báo,Xóa website ưu tiên
M06.05.04,Bảo vệ Internet,Website và cảnh báo,Xem danh sách website bị chặn
M06.05.05,Bảo vệ Internet,Website và cảnh báo,Thêm website bị chặn
M06.05.06,Bảo vệ Internet,Website và cảnh báo,Xóa website bị chặn
M06.05.07,Bảo vệ Internet,Website và cảnh báo,Xem báo cáo website vi phạm
M06.05.08,Bảo vệ Internet,Website và cảnh báo,Xem thiết bị/hồ sơ truy cập website vi phạm
M06.05.09,Bảo vệ Internet,Website và cảnh báo,Xem cảnh báo mối đe dọa
M07.01.01,Sức khỏe và chất lượng mạng,Internet Health Check,Xem tổng quan sức khỏe mạng
M07.01.02,Sức khỏe và chất lượng mạng,Internet Health Check,Xem trạng thái kết nối
M07.01.03,Sức khỏe và chất lượng mạng,Internet Health Check,Xem mức độ phủ sóng
M07.01.04,Sức khỏe và chất lượng mạng,Internet Health Check,Xem mức độ nhiễu sóng
M07.01.05,Sức khỏe và chất lượng mạng,Internet Health Check,Xem tình trạng modem
M07.01.06,Sức khỏe và chất lượng mạng,Internet Health Check,Làm mới chỉ số sức khỏe mạng
M07.01.07,Sức khỏe và chất lượng mạng,Internet Health Check,Xem giờ cao điểm sử dụng mạng
M07.01.08,Sức khỏe và chất lượng mạng,Internet Health Check,Xem lưu lượng mạng 7 ngày
M07.01.09,Sức khỏe và chất lượng mạng,Internet Health Check,Xem thiết bị sử dụng mạng nhiều nhất
M07.01.10,Sức khỏe và chất lượng mạng,Internet Health Check,Tối ưu lỗi modem
M07.01.11,Sức khỏe và chất lượng mạng,Internet Health Check,Mở kiểm tra toàn diện
M07.01.12,Sức khỏe và chất lượng mạng,Internet Health Check,Tạo hỗ trợ từ kết quả tối ưu thất bại
M07.02.01,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Quét lỗi mạng bằng Dr.Smart
M07.02.02,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Hủy quét lỗi mạng
M07.02.03,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Xem kết quả kiểm tra mạng
M07.02.04,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Xem hướng dẫn tự xử lý lỗi
M07.02.05,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Khởi động modem theo gợi ý kiểm tra
M07.02.06,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Xem trạng thái tự động sửa lỗi
M07.02.07,Sức khỏe và chất lượng mạng,Kiểm tra toàn diện Dr.Smart,Tạo hỗ trợ kỹ thuật từ kết quả kiểm tra
M07.03.01,Sức khỏe và chất lượng mạng,Speedtest,Đo tốc độ mạng
M07.03.02,Sức khỏe và chất lượng mạng,Speedtest,Xem download/upload/độ trễ
M07.03.03,Sức khỏe và chất lượng mạng,Speedtest,Mở Q&A giải thích kết quả Speedtest
M07.04.01,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Xem đánh giá vùng phủ Wi-Fi nội mạng
M07.04.02,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Xem đánh giá vùng phủ Wi-Fi AP ngoại mạng
M07.04.03,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Đồng ý kết quả đánh giá vùng phủ
M07.04.04,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Yêu cầu hỗ trợ thêm về vùng phủ
M07.04.05,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Xem lịch sử đánh giá vùng phủ
M07.04.06,Sức khỏe và chất lượng mạng,Vùng phủ Wi-Fi,Mở chi tiết yêu cầu hỗ trợ từ lịch sử vùng phủ
M07.05.01,Sức khỏe và chất lượng mạng,Cảnh báo lỗi chủ động Mirrorcle,Xem cảnh báo tình trạng dịch vụ trên Home
M07.05.02,Sức khỏe và chất lượng mạng,Cảnh báo lỗi chủ động Mirrorcle,Bỏ qua cảnh báo lỗi
M07.05.03,Sức khỏe và chất lượng mạng,Cảnh báo lỗi chủ động Mirrorcle,Khởi động modem từ cảnh báo lỗi
M07.05.04,Sức khỏe và chất lượng mạng,Cảnh báo lỗi chủ động Mirrorcle,Yêu cầu hỗ trợ từ cảnh báo lỗi
M08.01.01,"Camera, truyền hình và dịch vụ mở rộng",Camera,Xem danh sách/trạng thái camera
M08.01.02,"Camera, truyền hình và dịch vụ mở rộng",Camera,Xem chi tiết camera và gói dịch vụ
M08.01.03,"Camera, truyền hình và dịch vụ mở rộng",Camera,Sao chép S/N camera
M08.01.04,"Camera, truyền hình và dịch vụ mở rộng",Camera,Sao chép phiên bản firmware camera
M08.02.01,"Camera, truyền hình và dịch vụ mở rộng",Cloud Camera OTT,Chọn camera cần gia hạn Cloud
M08.02.02,"Camera, truyền hình và dịch vụ mở rộng",Cloud Camera OTT,Chọn thời gian lưu trữ Cloud
M08.02.03,"Camera, truyền hình và dịch vụ mở rộng",Cloud Camera OTT,Chọn thời hạn đóng cước Cloud
M08.02.04,"Camera, truyền hình và dịch vụ mở rộng",Cloud Camera OTT,Thanh toán gia hạn Cloud Camera OTT
M08.02.05,"Camera, truyền hình và dịch vụ mở rộng",Cloud Camera OTT,Xem đơn hàng/trạng thái kích hoạt Cloud
M08.03.01,"Camera, truyền hình và dịch vụ mở rộng",Cloud hợp đồng Combo,Xem thông tin gia hạn Cloud Combo
M08.03.02,"Camera, truyền hình và dịch vụ mở rộng",Cloud hợp đồng Combo,Chọn gói thời hạn gia hạn Cloud Combo
M08.03.03,"Camera, truyền hình và dịch vụ mở rộng",Cloud hợp đồng Combo,Thanh toán gia hạn Cloud Combo
M08.04.01,"Camera, truyền hình và dịch vụ mở rộng",Truyền hình/FPT Play,Mở quản lý dịch vụ truyền hình
M08.04.02,"Camera, truyền hình và dịch vụ mở rộng",Truyền hình/FPT Play,Mở luồng nâng cấp FPlay
M08.04.03,"Camera, truyền hình và dịch vụ mở rộng",Truyền hình/FPT Play,Đăng ký/nhận ưu đãi dùng thử FPT Play
M08.04.04,"Camera, truyền hình và dịch vụ mở rộng",Truyền hình/FPT Play,Dùng ưu đãi và mở ứng dụng FPT Play
M08.05.01,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Kích hoạt Ultra Fast bằng MAC và CODE
M08.05.02,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Kích hoạt Ultra Fast bằng EVC FGold
M08.05.03,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Chọn hợp đồng kích hoạt Ultra Fast
M08.05.04,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Xem kết quả/trạng thái kích hoạt Ultra Fast
M08.05.05,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Bật/tắt Ultra Fast Advance
M08.05.06,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Xem danh sách thiết bị được tối ưu
M08.05.07,"Camera, truyền hình và dịch vụ mở rộng",Ultra Fast,Xem danh sách game được tối ưu
M08.06.01,"Camera, truyền hình và dịch vụ mở rộng",FSafe Go,Mở giới thiệu/đăng ký FSafe Go
M08.06.02,"Camera, truyền hình và dịch vụ mở rộng",FSafe Go,Đăng ký dùng thử FSafe Go
M08.06.03,"Camera, truyền hình và dịch vụ mở rộng",FSafe Go,Dùng EVC kích hoạt dùng thử FSafe Go
M08.06.04,"Camera, truyền hình và dịch vụ mở rộng",FSafe Go,Xem thông tin gói FSafe Go dùng thử
M08.07.01,"Camera, truyền hình và dịch vụ mở rộng",FPT Wi-Fi/Pay Wi-Fi,Mua gói FPT Wi-Fi
M08.07.02,"Camera, truyền hình và dịch vụ mở rộng",FPT Wi-Fi/Pay Wi-Fi,Gia hạn gói FPT Wi-Fi
M08.07.03,"Camera, truyền hình và dịch vụ mở rộng",FPT Wi-Fi/Pay Wi-Fi,Xem lịch sử mua/hoạt động FPT Wi-Fi
M08.07.04,"Camera, truyền hình và dịch vụ mở rộng",FPT Wi-Fi/Pay Wi-Fi,Xem thông tin và trạng thái gói FPT Wi-Fi
M08.07.05,"Camera, truyền hình và dịch vụ mở rộng",FPT Wi-Fi/Pay Wi-Fi,Mua prepaid Wi-Fi bằng QR
M09.01.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Tạo yêu cầu hỗ trợ kỹ thuật
M09.01.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Tạo yêu cầu hỗ trợ thủ tục
M09.01.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Tạo yêu cầu hỗ trợ cước phí
M09.01.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Tạo yêu cầu hỗ trợ sử dụng ứng dụng
